ProductID,一覧No,タイトル,タイトル状態,サブタイトル・シリーズ,著者,出版社,底本刊行,ISBN,eISBN,code,status,pdf,pages,captured_at,note,収録元,不足項目,次の作業
KP00006180,,,未確認,,,,,,,,取得済,capture_20260916_KP00006180.pdf,313,2026-09-16,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00006181,,,未確認,,,,,,,,取得済,capture_20260916_KP00006181.pdf,952,2026-09-16,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00006183,,,未確認,,,,,,,,取得済,capture_20260922_KP00006183.pdf,381,2026-09-22,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00006329,94,生物の大きさはどのようにして決まるのか,検索リスト,ゾウとネズミの違いを生む遺伝子 DOJIN選書 056,大島靖美,化学同人,2013-11,9784759813562,9784759827439,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00009705,114,生物学の哲学入門,検索リスト,An introduction to philosophy of biology,森元良太 田中泉吏,勁草書房,2016-08,9784326102549,9784326994328,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00010178,141,植物レファレンス事典,検索リスト,,日外アソシエーツ編集部【編】,日外アソシエーツ,2004-01,9784816918216,9784816985454,library.pref.hokkaido,取得済,capture_20260916_KP00010178.pdf,1372,2026-09-16,,検索リスト+取得台帳,,対応不要
KP00010193,129,伝記ガイダンス 科学者3000人,検索リスト,,日外アソシエーツ【編】,日外アソシエーツ,2010-11,9784816922855,9784816985430,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00010200,138,同姓異読み人名辞典 西洋人編,検索リスト,,日外アソシエーツ【編】,日外アソシエーツ,2005-08,9784816919374,9784816982651,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00010214,136,海外交流史事典,検索リスト,,富田仁,日外アソシエーツ,1989-01,9784816908279,9784816982354,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00011282,,,未確認,,,,,,,,取得済,capture_20260917_KP00011282.pdf,441,2026-09-17,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00012425,,,未確認,,,,,,,,不完全,in_capture_20260922_KP00012425.pdf,22,2026-09-22,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま / キャプチャが途中。取り直したら pages と status を更新する
KP00013404,76,鹿と日本人,検索リスト,野生との共生1000年の知恵,田中淳夫,築地書館,2018-06,9784806715658,,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00014094,,,未確認,,,,,,,,取得済,capture_20260916_KP00014094.pdf,668,2026-09-16,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00014095,,,未確認,,,,,,,,取得済,capture_20260916_KP00014095.pdf,642,2026-09-16,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00014096,,,未確認,,,,,,,,取得済,capture_20260916_KP00014096.pdf,606,2026-09-16,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00014097,,,未確認,,,,,,,,取得済,capture_20260916_KP00014097.pdf,608,2026-09-16,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00014098,,,未確認,,,,,,,,取得済,capture_20260916_KP00014098.pdf,908,2026-09-16,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00014277,115,江戸の本屋さん,検索リスト,近世文化史の側面 平凡社ライブラリー 685,今田洋三,平凡社,2009-11,9784582766851,9784256971109,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00014713,113,暮らしのなかのニセ科学,検索リスト,平凡社新書 847,左巻健男,平凡社,2017-06,9784582858471,9784256975022,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00014791,97,岩波講座日本歴史 第１巻,検索リスト,原始・古代 1,大津透 桜井英治 藤井譲治 吉田裕 李成市【編】,岩波書店,2013-11,9784000113212,9784007101656,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00016144,140,全訂増補版 メダカ学全書,検索リスト,,岩松鷹司,大学教育出版,2018-07,9784864294829,9784864299343,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00016530,133,日本のタケ亜科植物,検索リスト,原色植物分類図鑑,小林幹夫,北隆館,2017-04,9784832610040,,library.pref.hokkaido,取得済,capture_20260916_KP00016530.pdf,441,2026-09-16,,検索リスト+取得台帳,,対応不要
KP00016533,,,未確認,,,,,,,,取得済,capture_20260921_KP00016533.pdf,867,2026-09-21,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00016534,,,未確認,,,,,,,,取得済,capture_20260920_KP00016534.pdf,883,2026-09-20,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00017529,,,未確認,,,,,,,,取得済,capture_20260917_KP00017529.pdf,467,2026-09-17,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00017751,98,日本産アリ類図鑑,検索リスト,,寺山守 久保田敏 江口克之,朝倉書店,2014-07,9784254171563,,library.pref.hokkaido,取得済,capture_20260921_KP00017751.pdf,336,2026-09-21,,検索リスト+取得台帳,,対応不要
KP00017837,,,未確認,,,,,,,,取得済,capture_20260917_KP00017837.pdf,440,2026-09-17,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00017844,,,未確認,,,,,,,,取得済,capture_20260917_KP00017844.pdf,444,2026-09-17,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00017867,,,未確認,,,,,,,,取得済,capture_20260917_KP00017867.pdf,232,2026-09-17,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00017869,,,未確認,,,,,,,,取得済,capture_20260917_KP00017869.pdf,941,2026-09-17,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00017882,66,造林学（第四版）,検索リスト,,丹下健 小池孝良【編】,朝倉書店,2016-08,9784254470512,,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00017908,103,ダニのはなし,検索リスト,人間との関わり,島野智之 高久元【編】,朝倉書店,2016-01,9784254640434,,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00018455,,,未確認,,,,,,,,取得済,capture_20260916_KP00018455.pdf,1009,2026-09-16,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00019289,65,草地と日本人【増補版】,検索リスト,縄文人からつづく草地利用と生態系,須賀丈 岡本透 丑丸敦史,築地書館,2019-02,9784806715764,,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00020497,123,ネコ・かわいい殺し屋,検索リスト,生態系への影響を科学する,ピーター・P・マラ クリス・サンテラ【著】 岡奈理子 山田文雄 塩野﨑和美 石井信夫【訳】,築地書館,2019-04,9784806715801,,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00020828,79,郷土・地域をしらべる レファレンスブック,検索リスト,,日外アソシエーツ【編】,日外アソシエーツ,2018-09,9784816927393,9784816986987,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00022148,73,樹木医学の基礎講座,検索リスト,,樹木医学会【編】,海青社,2014-12,9784860992972,9784860999391,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00022176,,,未確認,,,,,,,,取得済,capture_20260917_KP00022176.pdf,489,2026-09-17,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00022312,,,未確認,,,,,,,,不完全,in_capture_20260922_KP00022312.pdf,2,2026-09-22,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま / キャプチャが途中。取り直したら pages と status を更新する
KP00024575,135,生き物と音の事典,検索リスト,,生物音響学会【編】,朝倉書店,2019-11,9784254171679,,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00024795,,,未確認,,,,,,,,取得済,capture_20260922_KP00024795.pdf,243,2026-09-22,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00024796,,,未確認,,,,,,,,取得済,capture_20260921_KP00024796_3.pdf,242,2026-09-21,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00025048,,,未確認,,,,,,,,取得済,capture_20260922_KP00025048.pdf,204,2026-09-22,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00025124,64,樹に聴く,検索リスト,香る落葉・操る菌類・変幻自在な樹形,清和研二,築地書館,2019-10,9784806715900,,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00028133,93,ホタルと人と文化,検索リスト,,おかやま環境ネットワーク【編】 梶田博司 青山勲【著】,大学教育出版,2010-12,9784864290289,9784866927121,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00028192,,,未確認,,,,,,,,取得済,capture_20260922_KP00028192.pdf,465,2026-09-22,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00029944,,,未確認,,,,,,,,取得済,capture_20260922_KP00029944.pdf,146,2026-09-22,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00030375,,,未確認,,,,,,,,不完全,in_capture_20260917_KP00030375.pdf,1207,2026-09-17,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま / キャプチャが途中。取り直したら pages と status を更新する
KP00031006,,,未確認,,,,,,,,取得済,capture_20260921_KP00031006.pdf,217,2026-09-21,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00031398,77,農地・草地の歴史と未来,検索リスト,人と生態系のダイナミクス 1,宮下直 西廣淳,朝倉書店,2019-07,9784254185416,,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00031462,74,海の極小！いきもの図鑑,検索リスト,誰も知らない共生・寄生の不思議,星野修,築地書館,2020-05,9784806715993,,library.pref.hokkaido,取得済,capture_20260921_KP00031462.pdf,177,2026-09-21,,検索リスト+取得台帳,,対応不要
KP00031534,,,未確認,,,,,,,,取得済,capture_20260917_KP00031534.pdf,258,2026-09-17,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00031825,127,縄文時代の植物利用と家屋害虫,検索リスト,圧痕法のイノベーション,小畑弘己,吉川弘文館,2019-12,9784642093545,9784642213264,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00031833,89,土の中の美しい生き物たち,検索リスト,超拡大写真で見る不思議な生態,萩原康夫 吉田譲 島野智之【編著】 塚本勝也 前原忠【著】,朝倉書店,2019-12,9784254171716,,library.pref.hokkaido,取得済,土の中の美しい生き物たち.pdf,172,2026-08-14,,検索リスト+取得台帳,,対応不要
KP00032315,78,楽市楽座はあったのか,検索リスト,中世から近世へ,長澤伸樹,平凡社,2019-02,9784582477443,9784256980521,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00032855,69,在来野草による緑化ハンドブック,検索リスト,身近な自然の植生修復,根本正之 山田晋 田淵誠也【編】,朝倉書店,2020-05,9784254420425,,library.pref.hokkaido,取得済,capture_20260916_KP00032855.pdf,432,2026-09-16,,検索リスト+取得台帳,,対応不要
KP00041268,122,ミツバチの会議,検索リスト,なぜ常に最良の意思決定ができるのか,トーマス・シーリー【著】 片岡夏実【訳】,築地書館,2013-10,9784806714620,,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
